56,1,1,1,1,1,1,1,5,3,261,1,999,0,1,1.1,93.994,-36.4,4.857,5191,0
57,2,1,2,0,1,1,1,5,3,149,1,999,0,1,1.1,93.994,-36.4,4.857,5191,0
37,2,1,2,1,2,1,1,5,3,226,1,999,0,1,1.1,93.994,-36.4,4.857,5191,0
40,3,1,3,1,1,1,1,5,3,151,1,999,0,1,1.1,93.994,-36.4,4.857,5191,0
56,2,1,2,1,1,2,1,5,3,307,1,999,0,1,1.1,93.994,-36.4,4.857,5191,0
45,2,1,4,0,1,1,1,5,3,198,1,999,0,1,1.1,93.994,-36.4,4.857,5191,0
59,3,1,5,1,1,1,1,5,3,139,1,999,0,1,1.1,93.994,-36.4,4.857,5191,0
41,5,1,0,0,1,1,1,5,3,217,1,999,0,1,1.1,93.994,-36.4,4.857,5191,0
24,6,2,5,1,2,1,1,5,3,380,1,999,0,1,1.1,93.994,-36.4,4.857,5191,0
25,2,2,2,1,2,1,1,5,3,50,1,999,0,1,1.1,93.994,-36.4,4.857,5191,0
41,5,1,0,0,1,1,1,5,3,55,1,999,0,1,1.1,93.994,-36.4,4.857,5191,0
25,2,2,2,1,2,1,1,5,3,222,1,999,0,1,1.1,93.994,-36.4,4.857,5191,0
29,5,2,2,1,1,2,1,5,3,137,1,999,0,1,1.1,93.994,-36.4,4.857,5191,0
57,1,3,1,1,2,1,1,5,3,293,1,999,0,1,1.1,93.994,-36.4,4.857,5191,0
35,5,1,3,1,2,1,1,5,3,146,1,999,0,1,1.1,93.994,-36.4,4.857,5191,0
54,7,1,4,0,2,2,1,5,3,174,1,999,0,1,1.1,93.994,-36.4,4.857,5191,0
35,5,1,3,1,2,1,1,5,3,312,1,999,0,1,1.1,93.994,-36.4,4.857,5191,0
46,5,1,3,0,2,2,1,5,3,440,1,999,0,1,1.1,93.994,-36.4,4.857,5191,0
50,5,1,4,1,2,2,1,5,3,353,1,999,0,1,1.1,93.994,-36.4,4.857,5191,0
39,8,2,4,0,1,1,1,5,3,195,1,999,0,1,1.1,93.994,-36.4,4.857,5191,0
30,9,1,2,1,1,1,1,5,3,38,1,999,0,1,1.1,93.994,-36.4,4.857,5191,0
55,5,1,1,0,2,1,1,5,3,262,1,999,0,1,1.1,93.994,-36.4,4.857,5191,0
55,7,2,2,1,2,1,1,5,3,342,1,999,0,1,1.1,93.994,-36.4,4.857,5191,0
41,6,2,2,1,2,1,1,5,3,181,1,999,0,1,1.1,93.994,-36.4,4.857,5191,0
37,3,1,2,1,2,1,1,5,3,172,1,999,0,1,1.1,93.994,-36.4,4.857,5191,0
35,6,1,6,1,1,2,1,5,3,99,1,999,0,1,1.1,93.994,-36.4,4.857,5191,0
59,6,1,0,1,2,1,1,5,3,93,1,999,0,1,1.1,93.994,-36.4,4.857,5191,0
39,10,1,4,0,1,1,1,5,3,233,1,999,0,1,1.1,93.994,-36.4,4.857,5191,0
54,6,2,6,0,1,1,1,5,3,255,2,999,0,1,1.1,93.994,-36.4,4.857,5191,0
55,0,1,6,0,0,0,1,5,3,362,1,999,0,1,1.1,93.994,-36.4,4.857,5191,0
46,3,1,0,1,1,1,1,5,3,348,1,999,0,1,1.1,93.994,-36.4,4.857,5191,0
